axis,level,seed,estimator,est,se,target,identity_diff,first_stage_F
sites,2,8,sumstats,0.2702874773860626,0.05442504989564595,0.3,1.1102230246251565e-16,459.70195435589915
sites,2,9,pooled,0.28481080743938286,0.052069729468799335,0.29999999999999993,5.551115123125783e-17,521.7703239402158
sites,2,9,fedmr_cf,0.27594092728911923,0.05737082381467294,0.29999999999999993,5.551115123125783e-17,521.7703239402158
sites,2,9,site_meta,0.2864017861883591,0.05161209388699681,0.29999999999999993,5.551115123125783e-17,521.7703239402158
sites,2,9,sumstats,0.28570962323973714,0.054202640562558364,0.29999999999999993,5.551115123125783e-17,521.7703239402158
sites,2,10,pooled,0.3342675126079964,0.03939195208399221,0.3,0.0,749.1341297619902
sites,2,10,fedmr_cf,0.3386444375019206,0.04181696581631855,0.3,0.0,749.1341297619902
sites,2,10,site_meta,0.3339513959565341,0.039450086041512025,0.3,0.0,749.1341297619902
sites,2,10,sumstats,0.33226185096728056,0.04158835898672008,0.3,0.0,749.1341297619902
sites,2,11,pooled,0.40728206574398074,0.05117435363740205,0.3,1.1102230246251565e-16,444.76891851594144
sites,2,11,fedmr_cf,0.40698003156593565,0.05772351757312514,0.3,1.1102230246251565e-16,444.76891851594144
sites,2,11,site_meta,0.407478538224013,0.051299771201199544,0.3,1.1102230246251565e-16,444.76891851594144
sites,2,11,sumstats,0.40772434989911527,0.05304109006466208,0.3,1.1102230246251565e-16,444.76891851594144
sites,2,12,pooled,0.2435030301811685,0.04527571689092356,0.3,2.220446049250313e-16,572.4980686404829
sites,2,12,fedmr_cf,0.2302948760592014,0.04957571939253844,0.3,2.220446049250313e-16,572.4980686404829
sites,2,12,site_meta,0.24518067529028365,0.04557425398678345,0.3,2.220446049250313e-16,572.4980686404829
sites,2,12,sumstats,0.24468880875948135,0.04797689180682037,0.3,2.220446049250313e-16,572.4980686404829
sites,2,13,pooled,0.28464047043407886,0.03799287332045103,0.3,1.1102230246251565e-16,823.2821337422747
sites,2,13,fedmr_cf,0.2740646397026638,0.04063217321768861,0.3,1.1102230246251565e-16,823.2821337422747
sites,2,13,site_meta,0.2876184139416407,0.03801933545181809,0.3,1.1102230246251565e-16,823.2821337422747
sites,2,13,sumstats,0.292431968009975,0.039765272049329115,0.3,1.1102230246251565e-16,823.2821337422747
sites,2,14,pooled,0.35753170583970717,0.03687582548326221,0.30000000000000004,2.220446049250313e-16,891.3980692732
sites,2,14,fedmr_cf,0.3521398759651482,0.039111968565238055,0.30000000000000004,2.220446049250313e-16,891.3980692732
sites,2,14,site_meta,0.3575370214925323,0.03686286570078854,0.30000000000000004,2.220446049250313e-16,891.3980692732
sites,2,14,sumstats,0.3577601415664706,0.039935786868898496,0.30000000000000004,2.220446049250313e-16,891.3980692732
sites,2,15,pooled,0.30332463875229126,0.03944791472862931,0.3,5.551115123125783e-17,789.644959052876
sites,2,15,fedmr_cf,0.2966218171952595,0.041432096888177485,0.3,5.551115123125783e-17,789.644959052876
sites,2,15,site_meta,0.30562409890996456,0.03903768774430633,0.3,5.551115123125783e-17,789.644959052876
sites,2,15,sumstats,0.3027920881487116,0.04048033612685821,0.3,5.551115123125783e-17,789.644959052876
sites,2,16,pooled,0.3085732419934034,0.04882284384026065,0.3,3.3306690738754696e-16,532.7080379608354
sites,2,16,fedmr_cf,0.3130004857999139,0.053252129882937815,0.3,3.3306690738754696e-16,532.7080379608354
sites,2,16,site_meta,0.3082070309254102,0.048940251641966345,0.3,3.3306690738754696e-16,532.7080379608354
sites,2,16,sumstats,0.3112776805113971,0.05133189549016755,0.3,3.3306690738754696e-16,532.7080379608354
sites,2,17,pooled,0.2937188159382866,0.038664400622033405,0.3,5.551115123125783e-17,868.6986291056459
sites,2,17,fedmr_cf,0.2884903970286409,0.04108310743948282,0.3,5.551115123125783e-17,868.6986291056459
sites,2,17,site_meta,0.29305640469722644,0.03857279079049803,0.3,5.551115123125783e-17,868.6986291056459
sites,2,17,sumstats,0.2924113640368124,0.04165390937237592,0.3,5.551115123125783e-17,868.6986291056459
