site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site08,5,global,6523,1631,1.1536253690719604,1.1536253690719604,0.8524000644683838,0.1486610770225525,0.1721204910108354,0.4404027163982391
site09,0,global,6739,1685,1.3430016040802002,1.3430016040802002,0.9142690896987916,-0.1095221042633056,0.0352690201469616,0.2022626996040344
site09,0,local,6739,1685,1.1034499406814575,1.1034499406814575,0.8318918943405151,0.0883837342262268,0.0352690201469616,0.2022626996040344
site09,1,global,6739,1685,1.125597357749939,1.125597357749939,0.8408101797103882,0.070086658000946,0.0352690201469616,0.2022626996040344
site09,1,local,6739,1685,1.1032185554504397,1.1032185554504397,0.8322266936302185,0.0885748863220214,0.0352690201469616,0.2022626996040344
site09,2,global,6739,1685,1.113162398338318,1.113162398338318,0.8358383774757385,0.0803598165512085,0.0352690201469616,0.2022626996040344
site09,2,local,6739,1685,1.1027486324310305,1.1027486324310305,0.8319129943847656,0.0889632105827331,0.0352690201469616,0.2022626996040344
site09,3,global,6739,1685,1.1040369272232056,1.1040369272232056,0.832325279712677,0.087898850440979,0.0352690201469616,0.2022626996040344
site09,3,local,6739,1685,1.0996452569961548,1.0996452569961548,0.8304786682128906,0.091526985168457,0.0352690201469616,0.2022626996040344
site09,4,global,6739,1685,1.1034753322601318,1.1034753322601318,0.8319617509841919,0.0883628129959106,0.0352690201469616,0.2022626996040344
site09,4,local,6739,1685,1.1037849187850952,1.1037849187850952,0.8318119645118713,0.0881069898605346,0.0352690201469616,0.2022626996040344
site09,5,global,6739,1685,1.108829140663147,1.108829140663147,0.8334463238716125,0.0839397311210632,0.0352690201469616,0.2022626996040344
site10,0,global,7504,1876,1.1729509830474854,1.1729509830474854,0.858113169670105,-0.014809250831604,0.082569773232602,0.2769405543804168
site10,0,local,7504,1876,0.9946547746658324,0.9946547746658324,0.7907311320304871,0.139448344707489,0.082569773232602,0.2769405543804168
site10,1,global,7504,1876,1.001002073287964,1.001002073287964,0.7958158850669861,0.1339568495750427,0.082569773232602,0.2769405543804168
site10,1,local,7504,1876,0.9870955348014832,0.9870955348014832,0.787865936756134,0.1459884643554687,0.082569773232602,0.2769405543804168
site10,2,global,7504,1876,0.9948108196258544,0.9948108196258544,0.7921794652938843,0.1393133401870727,0.082569773232602,0.2769405543804168
site10,2,local,7504,1876,0.9888204336166382,0.9888204336166382,0.7883874177932739,0.1444961428642273,0.082569773232602,0.2769405543804168
site10,3,global,7504,1876,0.9887683987617492,0.9887683987617492,0.7891663312911987,0.1445410847663879,0.082569773232602,0.2769405543804168
site10,3,local,7504,1876,0.9857534170150756,0.9857534170150756,0.7879888415336609,0.1471496224403381,0.082569773232602,0.2769405543804168
site10,4,global,7504,1876,0.9877097606658936,0.9877097606658936,0.7893421649932861,0.1454570293426513,0.082569773232602,0.2769405543804168
site10,4,local,7504,1876,0.9932309985160828,0.9932309985160828,0.790812611579895,0.140680193901062,0.082569773232602,0.2769405543804168
site10,5,global,7504,1876,0.9902117252349854,0.9902117252349854,0.7911947965621948,0.1432923674583435,0.082569773232602,0.2769405543804168
